자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
백병원 사거리 농협은행 앞,무인대여소,서울특별시 노원구 동일로 1351,서울특별시 노원구 동일로 1351,37.649212,127.061768,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
이수역 1번출구,무인대여소,서울특별시 서초구 동작대로 134,서울특별시 서초구 동작대로 134,37.488556,126.982574,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,6,9,N,수동식,N,1599-0120,서울시설공단,2017-11-21
이수고가차도 남단,무인대여소,서울특별시 서초구 동작대로 196,서울특별시 서초구 동작대로 196,37.494106,126.982994,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,16,25,N,수동식,N,1599-0120,서울시설공단,2017-11-21
현대고등학교 건너편,무인대여소,서울특별시 강남구 압구정로 134,서울특별시 강남구 압구정로 134,37.524071,127.02179,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
교보타워 버스정류장(신논현역 3번출구 후면),무인대여소,서울특별시 강남구 봉은사로 지하 102,서울특별시 강남구 봉은사로 지하 102,37.505581,127.024277,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
논현역 7번출구,무인대여소,서울특별시 강남구 학동로 지하 102,서울특별시 강남구 학동로 지하 102,37.511517,127.021477,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
신영 ROYAL PALACE 앞,무인대여소,서울특별시 강남구 언주로 626,서울특별시 강남구 언주로 626,37.512527,127.035835,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
MCM 본사 직영점 앞,무인대여소,서울특별시 강남구 언주로 734,서울특별시 강남구 언주로 734,37.520641,127.034508,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
압구정역 2번 출구 옆,무인대여소,서울특별시 강남구 압구정로 지하 172,서울특별시 강남구 압구정로 지하 172,37.527122,127.028717,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,20,30,N,수동식,N,1599-0120,서울시설공단,2017-11-21
압구정파출소 앞,무인대여소,서울특별시 강남구 압구정로 311,서울특별시 강남구 압구정로 311,37.529301,127.035599,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,9,14,N,수동식,N,1599-0120,서울시설공단,2017-11-21
