자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
대방역6번출구,무인대여소,서울특별시 영등포구 신길동1368,서울특별시 영등포구 신길동1368,37.513592,126.925934,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,11,17,N,수동식,N,1599-0120,서울시설공단,2017-11-21
여의도 마리나선착장 앞,무인대여소,서울특별시 영등포구 여의서로 160,서울특별시 영등포구 여의서로 160,37.533817,126.912491,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
영문초등학교 사거리,무인대여소,서울특별시 영등포구 문래로 56,서울특별시 영등포구 문래로 56,37.519928,126.889183,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,8,12,N,수동식,N,1599-0120,서울시설공단,2017-11-21
근로자회관 사거리,무인대여소,서울특별시 영등포구 선유로 34,서울특별시 영등포구 선유로 34,37.517151,126.888626,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,8,12,N,수동식,N,1599-0120,서울시설공단,2017-11-21
교보생명보험 앞,무인대여소,서울특별시 영등포구 영등포로 96,서울특별시 영등포구 영등포로 96,37.521931,126.891617,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
영등포유통상가 사거리,무인대여소,서울특별시 영등포구 영등포로 124,서울특별시 영등포구 영등포로 124,37.521133,126.896538,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
영등포청과시장 사거리,무인대여소,서울특별시 영등포구 영등포로 177,서울특별시 영등포구 영등포로 177,37.520447,126.901093,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
삼성화재 사옥 옆,무인대여소,서울특별시 영등포구 양평로 76,서울특별시 영등포구 양평로 76,37.535961,126.8983,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
그랜드컨벤션센터 앞,무인대여소,서울특별시 영등포구 양평로 58,서울특별시 영등포구 양평로 58,37.534718,126.900002,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
증권거래소후문교차로,무인대여소,서울특별시 영등포구 여의나루로 76,서울특별시 영등포구 여의나루로 76,37.522343,126.927101,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
샛강생태공원방문자센터 앞,무인대여소,서울특별시 영등포구 여의동로 48,서울특별시 영등포구 여의동로 48,37.518963,126.921616,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
당산육갑문,무인대여소,서울특별시 영등포구 당산로52길 3,서울특별시 영등포구 당산로52길 3,37.535339,126.903679,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,13,20,N,수동식,N,1599-0120,서울시설공단,2017-11-21
광진광장 교통섬,무인대여소,서울특별시 광진구 군자동 374-8,서울특별시 광진구 군자동 374-8,37.547829,127.072632,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,13,20,N,수동식,N,1599-0120,서울시설공단,2017-11-21
성수2가1동 공영주차장 인근,무인대여소,서울특별시 성동구 성수동2가 569-3,서울특별시 성동구 성수동2가 569-3,37.536808,127.055489,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,6,9,N,수동식,N,1599-0120,서울시설공단,2017-11-21
마장동 주민센터,무인대여소,서울특별시 성동구 마장로42길 14,서울특별시 성동구 마장로42길 14,37.565941,127.045395,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
KEB하나은행 성수중앙지점,무인대여소,서울특별시 성동구 성수동2가 276-5,서울특별시 성동구 성수동2가 276-5,37.545418,127.052643,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
뚝섬 유원지역,무인대여소,서울특별시 광진구 능동로 10,서울특별시 광진구 능동로 10,37.532688,127.067497,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
성수역3번출구,무인대여소,서울특별시 성동구 아차산로 100,서울특별시 성동구 아차산로 100,37.544159,127.056656,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,5,8,N,수동식,N,1599-0120,서울시설공단,2017-11-21
건국대학교 (입학정보관),무인대여소,서울특별시 광진구 능동로 120,서울특별시 광진구 능동로 120,37.540089,127.073746,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
건국대학교 (행정관),무인대여소,서울특별시 광진구 능동로 120,서울특별시 광진구 능동로 120,37.542778,127.075371,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,3,5,N,수동식,N,1599-0120,서울시설공단,2017-11-21
건국대학교 학생회관,무인대여소,서울특별시 광진구 능동로 120,서울특별시 광진구 능동로 120,37.541763,127.07843,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
양중앙나들목,무인대여소,서울특별시 광진구 자양강변길 301,서울특별시 광진구 자양강변길 301,37.528587,127.077873,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,3,5,N,수동식,N,1599-0120,서울시설공단,2017-11-21
중랑물재생센터(서울새활용플라자),무인대여소,서울특별시 성동구 자동차시장길 49,서울특별시 성동구 자동차시장길 49,37.558365,127.056908,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
휘경2동 주민센터,무인대여소,서울특별시 동대문구 한천로 329,서울특별시 동대문구 한천로 329,37.589912,127.06868,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
가락시장역 3번 출구,무인대여소,서울특별시 송파구 송파대로 지하 257,서울특별시 송파구 송파대로 지하 257,37.493179,127.118546,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
밀리아나2빌딩 앞,무인대여소,서울특별시 송파구 송파대로28길 24,서울특별시 송파구 송파대로28길 24,37.493729,127.120621,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,13,20,N,수동식,N,1599-0120,서울시설공단,2017-11-21
거여역 3번출구,무인대여소,서울특별시 송파구 오금로 지하 499,서울특별시 송파구 오금로 지하 499,37.493343,127.14473,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
종합운동장역 4번출구,무인대여소,서울특별시 송파구 올림픽로 8,서울특별시 송파구 올림픽로 8,37.510429,127.071373,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
9호선종합운동장역 9번출구,무인대여소,서울특별시 송파구 올림픽로 지하 23,서울특별시 송파구 올림픽로 지하 23,37.51128,127.078239,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,13,20,N,수동식,N,1599-0120,서울시설공단,2017-11-21
마천CU우방점 앞,무인대여소,서울특별시 송파구 성내천로 233,서울특별시 송파구 성내천로 233,37.499756,127.152504,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
풍납현대아파트쉼터,무인대여소,서울특별시 송파구 풍성로14길 19,서울특별시 송파구 풍성로14길 19,37.529675,127.119789,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,13,20,N,수동식,N,1599-0120,서울시설공단,2017-11-21
잠실나루역 (2번 출구 쪽),무인대여소,서울특별시 송파구 오금로 20,서울특별시 송파구 오금로 20,37.520451,127.104202,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,13,20,N,수동식,N,1599-0120,서울시설공단,2017-11-21
롯데월드타워(잠실역2번출구 쪽),무인대여소,서울특별시 송파구 올림픽로 293-19,서울특별시 송파구 올림픽로 293-19,37.513126,127.10096,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,20,30,N,수동식,N,1599-0120,서울시설공단,2017-11-21
방이삼거리,무인대여소,서울특별시 송파구 석촌호수로 298,서울특별시 송파구 석촌호수로 298,37.512104,127.10778,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,5,7,N,수동식,N,1599-0120,서울시설공단,2017-11-21
송파역 2번 출구앞,무인대여소,서울특별시 송파구 송파대로 지하 354,서울특별시 송파구 송파대로 지하 354,37.499413,127.112869,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
백토공원 앞,무인대여소,서울특별시 송파구 양재대로72길 47-8,서울특별시 송파구 양재대로72길 47-8,37.50766,127.132736,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,13,20,N,수동식,N,1599-0120,서울시설공단,2017-11-21
정동사거리,무인대여소,서울특별시 중구 정동길 2-1,서울특별시 중구 정동길 2-1,37.56805,126.969231,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,5,7,N,수동식,N,1599-0120,서울시설공단,2017-11-21
경복궁역 7번출구 앞,무인대여소,서울특별시 종로구 사직로 지하130,서울특별시 종로구 사직로 지하130,37.575794,126.971451,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,16,N,수동식,N,1599-0120,서울시설공단,2017-11-21
경복궁역 4번출구 뒤,무인대여소,서울특별시 종로구 사직로 지하130,서울특별시 종로구 사직로 지하130,37.575947,126.97406,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,8,12,N,수동식,N,1599-0120,서울시설공단,2017-11-21
광화문역 1번출구 앞,무인대여소,서울특별시 종로구 세종대로 지하189,서울특별시 종로구 세종대로 지하189,37.571732,126.974922,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,5,8,N,수동식,N,1599-0120,서울시설공단,2017-11-21
광화문역 2번출구 앞,무인대여소,서울특별시 종로구 세종대로 지하172,서울특별시 종로구 세종대로 지하172,37.572487,126.977501,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,5,7,N,수동식,N,1599-0120,서울시설공단,2017-11-21
종로구청 옆,무인대여소,서울특별시 종로구 삼봉로 43,서울특별시 종로구 삼봉로 43,37.572582,126.978355,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,16,N,수동식,N,1599-0120,서울시설공단,2017-11-21
광화문역 7번출구 앞,무인대여소,서울특별시 종로구 세종대로 지하172,서울특별시 종로구 세종대로 지하172,37.570808,126.976433,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,6,9,N,수동식,N,1599-0120,서울시설공단,2017-11-21
서울역사박물관 앞,무인대여소,서울특별시 종로구 새문안로 55,서울특별시 종로구 새문안로 55,37.57,126.9711,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,11,N,수동식,N,1599-0120,서울시설공단,2017-11-21
광화문 S타워 앞,무인대여소,서울특별시 종로구 새문안로 82,서울특별시 종로구 새문안로 82,37.569969,126.973938,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
광화문역 6번출구 옆,무인대여소,서울특별시 종로구 세종대로 지하172,서울특별시 종로구 세종대로 지하172,37.569889,126.976456,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,8,13,N,수동식,N,1599-0120,서울시설공단,2017-11-21
청계광장 옆,무인대여소,서울특별시 중구 세종대로 136,서울특별시 중구 세종대로 136,37.568878,126.97747,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
서울광장 옆,무인대여소,서울특별시 중구 세종대로 지하 101,서울특별시 중구 세종대로 지하 101,37.566612,126.97747,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,23,35,N,수동식,N,1599-0120,서울시설공단,2017-11-21
용신동주민센터,무인대여소,서울특별시 동대문구 용두동 65-25,서울특별시 동대문구 용두동 65-25,37.575947,127.037361,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
장안동 사거리,무인대여소,서울특별시 동대문구 장한로 25길 2,서울특별시 동대문구 장한로 25길 2,37.572174,127.071388,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
답십리초등학교 옆 공원,무인대여소,서울특별시 동대문구 전농로3길 23,서울특별시 동대문구 전농로3길 23,37.569656,127.055962,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,10,15,N,수동식,N,1599-0120,서울시설공단,2017-11-21
신설동역8번출구,무인대여소,서울특별시 동대문구 천호대로 26,서울특별시 동대문구 천호대로 26,37.5742,127.026497,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,5,8,N,수동식,N,1599-0120,서울시설공단,2017-11-21
휘경공고앞,무인대여소,서울특별시 동대문구 겸재로 21,서울특별시 동대문구 겸재로 21,37.584625,127.07029,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,4,6,N,수동식,N,1599-0120,서울시설공단,2017-11-21
신이문역 2번출구,무인대여소,서울특별시 동대문구 이문동186-1,서울특별시 동대문구 이문동186-1,37.602711,127.067863,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
전농삼성아파트,무인대여소,서울특별시 동대문구 전농로 192,서울특별시 동대문구 전농로 192,37.58131,127.055344,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
제기2교,무인대여소,서울특별시 동대문구 제기동122-388,서울특별시 동대문구 제기동122-388,37.587791,127.037361,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,13,20,N,수동식,N,1599-0120,서울시설공단,2017-11-21
동대문중 교차로,무인대여소,서울특별시 동대문구 답십리동 524-1,서울특별시 동대문구 답십리동 524-1,37.573086,127.052162,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,7,10,N,수동식,N,1599-0120,서울시설공단,2017-11-21
시립동부병원 앞 사거리,무인대여소,서울특별시 동대문구 용두동 237-10,서울특별시 동대문구 용두동 237-10,37.573498,127.030472,0:01,24:00:00,연중무휴,유료,1일권(1시간) 1천원+정기권(1시간) 7일 3천원+정기권(1시간) 30일 5천원+정기권(1시간) 180일 1만5천원+정기권(1시간) 365일 3만원+1일권(2시간) 2천원+정기권(2시간) 7일 4천원+정기권(2시간) 30일 7천원,13,20,N,수동식,N,1599-0120,서울시설공단,2017-11-21
